tmdb_id,title,release_date,budget,runtime,genres,popularity,vote_average,vote_count,production_companies,directors,cast,imdb_id,mpaa_rating,collection_id,lead_actor_1_name,lead_actor_1_id,lead_actor_1_character,lead_actor_2_name,lead_actor_2_id,lead_actor_2_character,opening_weekend_domestic
1043905,Dirty Angels,11/12/24,35954590,104,"['Action', 'Drama', 'Thriller', 'War']",7.7606,6.179,347,"['Millennium Media', 'Nu Boyana Film Studios', 'I Road Productions']",['Martin Campbell'],"['Eva Green', 'Maria Bakalova', 'Ruby Rose', 'Reza Brojerdi', 'Jojo T. Gibbs']",tt23872640,R,,Eva Green,10912,Jake,Maria Bakalova,2408703,The Bomb,35974
1122418,This Time Next Year,3/6/24,0,116,"['Romance', 'Comedy']",7.8858,6.085,71,"['Night Train Media', 'BlackBox Multimedia', 'Vargo Film']",['Nick Moore'],"['Sophie Cookson', 'Lucien Laviscount', 'John Hannah', 'Golda Rosheuvel', 'Monica Dolan']",tt16301164,,,Sophie Cookson,1282054,Minnie Cooper,Lucien Laviscount,233096,Quinn Hamilton,45808
507241,The Killer's Game,12/9/24,30000000,104,"['Action', 'Comedy', 'Thriller']",7.4846,6.387,492,"['Dogbone Entertainment', 'Mad Chance', 'Endurance Media', 'K. JAM Media', 'TKG Productions', 'The Feature Film One', 'Lionsgate']",['J.J. Perry'],"['Dave Bautista', 'Sofia Boutella', 'Terry Crews', 'Pom Klementieff', 'Daniel Bernhardt']",tt0327785,R,,Dave Bautista,543530,Joe Flood,Sofia Boutella,568657,Maize Arnaud,2697850
1158915,Dìdi (弟弟),26/7/24,0,94,"['Comedy', 'Drama']",7.4903,7.183,175,"['Unapologetic Projects', 'Spark Features', 'Antigravity Academy', 'Maiden Voyage Pictures', 'Cedar Road', 'Liucrative Media']",['Sean Wang'],"['Izaac Wang', 'Joan Chen', 'Shirley Chen', 'Chang Li Hua', 'Mahaela Park']",tt30319503,,,Izaac Wang,2362044,Chris Wang,Joan Chen,6720,Chungsing Wang,207307
1182387,Armor,30/10/24,11500000,89,"['Action', 'Crime', 'Thriller', 'Drama']",7.1415,5.6,250,"['Convergence Entertainment', 'TPC', 'BondIt Media Capital', 'Grindstone Entertainment Group', 'Highland Film Group', 'Eyevox Entertainment']",['Justin Routt'],"['Jason Patric', 'Sylvester Stallone', 'Josh Wiggins', 'Dash Mihok', 'Blake Shields']",tt29252358,R,,Jason Patric,12261,James,Sylvester Stallone,16483,Rook,71421
814889,Never Let Go,18/9/24,20000000,101,['Horror'],6.8588,6.106,535,"['Lionsgate', '21 Laps Entertainment', 'Media Capital Technologies', 'HalleHolly', 'Summit Entertainment', 'Firstep']",['Alexandre Aja'],"['Halle Berry', 'Anthony B. Jenkins', 'William Catlett', 'Percy Daggs IV', 'Matthew Kevin Anderson']",tt14415204,,,Halle Berry,4587,Momma,Anthony B. Jenkins,3401898,Samuel,4449065
1167271,Weekend in Taipei,19/9/24,30000000,101,"['Action', 'Adventure', 'Thriller']",6.7774,6.4,244,"['EuropaCorp', 'Kinology', 'Rabbits Black']",['George Huang'],"['Luke Evans', 'Gwei Lun-Mei', 'Sung Kang', 'Wyatt Yang', 'Pernell Walker']",tt28142896,R,,Luke Evans,114019,John Lawlor,Gwei Lun-Mei,85962,Joey Kang,380057
1010600,The Strangers: Chapter 1,15/5/24,8500000,91,"['Horror', 'Thriller']",6.2222,5.644,640,"['Fifth Element Productions', 'Sherbone Media', 'Lipsync Productions', 'Stream Media', 'Lionsgate']",['Renny Harlin'],"['Madelaine Petsch', 'Froy Gutierrez', 'Gabriel Basso', 'Ema Horvath', 'Ella Bruccoleri']",tt22050754,R,1172926,Madelaine Petsch,1592855,Maya,Froy Gutierrez,1798797,Ryan,11825058
1197619,Lost on a Mountain in Maine,1/11/24,0,115,"['Adventure', 'Drama', 'Family']",5.2544,7.1,104,"['Balboa Productions', 'Great Mountain']",['Andrew Kightlinger'],"['Luke David Blumm', 'Paul Sparks', 'Caitlin FitzGerald', 'Ethan Slater', 'Griffin Wallace Henkel']",tt2965408,PG,,Luke David Blumm,2444662,Donn Fendler,Paul Sparks,167564,Mr. Donald Fendler,385442
989662,A Different Man,24/8/24,0,112,"['Comedy', 'Drama']",7.5981,6.905,372,"['A24', 'Killer Films', 'Grand Motel Films']",['Aaron Schimberg'],"['Sebastian Stan', 'Renate Reinsve', 'Adam Pearson', 'Miles G. Jackson', 'Patrick Wang']",tt21097228,,,Sebastian Stan,60898,Edward,Renate Reinsve,1576786,Ingrid,49466
