tmdb_id,title,release_date,budget_adj,opening_weekend_domestic_adj,director_power,director_momentum,cast_power,cast_momentum,studio_power,studio_momentum,in_series,prev_opening_adj,season_dump,season_holiday,season_shoulder,season_summer,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,rating_G,rating_NC-17,rating_NR,rating_PG,rating_PG-13,rating_R,rating_Unrated,runtime_scaled
44214,Black Swan,2010-03-12,16.770259602527126,14.57259542225954,0.0,0.0,11.623385164181274,11.623385164181274,0.0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.2835060216626283
51462,Brotherhood,2010-03-13,16.62411492640761,9.361080109044302,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1.61206076047962
53344,Lemmy,2010-03-15,16.739182260370196,5.270153051439066,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7573977171981904
27573,The Bounty Hunter,2010-03-16,17.894189664017606,17.234787817069073,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.4019789455465188
31867,Repo Men,2010-03-18,17.671046116935848,16.01788006211166,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.461215407488464
42188,Never Let Me Go,2010-03-18,16.913360439222235,12.013682021238802,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0465601738948472
10191,How to Train Your Dragon,2010-03-18,19.311255670978632,17.98339760243414,0.0,0.0,16.318497134299044,16.318497134299044,0.0,0.0,1,0.0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.3088585977568243
33217,Diary of a Wimpy Kid,2010-03-19,16.913360439222235,17.302071113650154,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.6642773694084959
27586,The Runaways,2010-03-19,16.507895353687154,13.988540879462493,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.224269559720683
42194,Tekken,2010-03-20,17.606507597209095,12.95639119711398,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,-0.6642773694084959
